iter	Passed	Remaining
473	725	804
474	726	803
475	728	801
476	729	799
477	730	798
478	732	796
479	733	794
480	734	793
481	736	791
482	737	789
483	739	788
484	740	786
485	742	784
486	743	783
487	745	781
488	746	780
489	747	778
490	749	776
491	750	775
492	752	773
493	753	772
494	755	770
495	756	768
496	757	767
497	759	765
498	760	763
499	762	762
500	763	760
501	765	759
502	766	757
503	768	755
504	769	754
505	770	752
506	772	751
507	773	749
508	775	747
509	776	746
510	777	744
511	779	742
512	780	741
513	782	739
514	783	738
515	785	736
516	786	735
517	788	733
518	789	731
519	791	730
520	792	728
521	793	726
522	795	725
523	796	723
524	797	721
525	799	720
526	801	719
527	802	717
528	804	715
529	805	714
530	806	712
531	808	711
532	809	709
533	811	708
534	812	706
535	814	704
536	815	703
537	817	701
538	818	700
539	819	698
540	821	696
541	822	695
542	824	693
543	825	692
544	827	690
545	828	688
546	829	687
547	831	685
548	832	684
549	834	682
550	835	680
551	837	679
552	838	677
553	840	676
554	841	674
555	843	673
556	844	671
557	846	670
558	847	668
559	848	667
560	850	665
561	852	664
562	853	662
563	855	661
564	856	659
565	858	657
566	859	656
567	860	654
568	862	653
569	863	651
570	865	650
571	866	648
572	868	647
573	869	645
574	871	644
575	872	642
576	874	640
577	875	639
578	877	637
579	878	636
580	880	634
581	881	633
582	883	631
583	884	630
584	886	628
585	888	627
586	889	625
587	890	624
588	892	622
589	893	621
590	895	619
591	896	618
592	898	616
593	900	615
594	901	613
595	903	612
596	904	610
597	906	609
598	908	607
599	909	606
600	911	604
601	912	603
602	914	601
603	915	600
604	917	598
605	918	597
606	920	595
607	921	594
608	923	592
609	924	591
610	926	589
611	928	588
612	929	586
613	931	585
614	932	583
615	934	582
616	935	580
617	937	579
618	938	577
619	939	576
620	941	574
621	943	573
622	944	571
623	946	570
624	948	568
625	949	567
626	951	566
627	952	564
628	954	562
629	956	561
630	957	560
631	959	558
632	960	557
633	962	555
634	963	554
635	965	552
636	967	551
637	968	549
638	970	548
639	971	546
640	973	544
641	974	543
642	975	541
643	977	540
644	978	538
645	979	536
646	981	535
647	982	533
648	984	532
649	985	530
650	987	529
651	988	527
652	990	526
653	991	524
654	993	523
655	994	521
656	995	519
657	997	518
658	998	516
659	1000	515
660	1001	513
661	1003	512
662	1004	510
663	1006	509
664	1007	507
665	1009	506
666	1011	504
667	1012	503
668	1014	501
669	1015	500
670	1017	498
671	1018	497
672	1020	495
673	1021	494
674	1023	492
675	1025	491
676	1026	489
677	1028	488
678	1030	486
679	1031	485
680	1033	483
681	1034	482
682	1035	480
683	1037	479
684	1038	477
685	1040	476
686	1041	474
687	1043	473
688	1044	471
689	1046	469
690	1047	468
691	1048	466
692	1050	465
693	1051	463
694	1053	462
695	1054	460
696	1056	459
697	1057	457
698	1059	456
699	1060	454
700	1062	453
701	1065	452
702	1066	450
703	1068	449
704	1069	447
705	1071	446
706	1072	444
707	1073	442
708	1075	441
709	1076	439
710	1078	438
711	1079	436
712	1080	435
713	1082	433
714	1083	431
715	1085	430
716	1086	428
717	1088	427
718	1089	425
719	1091	424
720	1092	422
721	1094	421
722	1095	419
723	1097	418
724	1098	416
725	1100	415
726	1102	413
727	1103	412
728	1105	410
729	1106	409
730	1108	407
731	1109	406
732	1111	404
733	1112	403
734	1113	401
735	1115	400
736	1116	398
737	1118	397
738	1120	395
739	1121	394
740	1123	392
741	1124	391
742	1126	389
743	1127	388
744	1129	386
745	1131	385
746	1132	383
747	1134	382
748	1135	380
749	1137	379
750	1138	377
751	1140	376
752	1141	374
753	1143	373
754	1144	371
755	1146	370
756	1148	368
757	1149	366
758	1150	365
759	1152	363
760	1153	362
761	1155	360
762	1156	359
763	1158	357
764	1159	356
765	1161	354
766	1162	353
767	1164	351
768	1166	350
769	1167	348
770	1169	347
771	1170	345
772	1172	344
773	1173	342
774	1175	341
775	1177	339
776	1178	338
777	1180	336
778	1181	335
779	1183	333
780	1184	332
781	1186	330
782	1187	329
783	1188	327
784	1190	326
785	1192	324
786	1193	323
787	1195	321
788	1196	320
789	1198	318
790	1199	317
791	1201	315
792	1202	314
793	1204	312
794	1206	311
795	1207	309
796	1209	307
797	1210	306
798	1212	304
799	1213	303
800	1215	301
801	1216	300
802	1218	298
803	1219	297
804	1221	295
805	1222	294
806	1224	292
807	1225	291
808	1227	289
809	1228	288
810	1230	286
811	1231	285
812	1233	283
813	1234	282
814	1236	280
815	1237	279
816	1238	277
817	1240	275
818	1241	274
819	1243	272
820	1244	271
821	1245	269
822	1247	268
823	1248	266
824	1250	265
825	1251	263
826	1253	262
827	1254	260
828	1256	259
829	1257	257
830	1258	256
831	1260	254
832	1261	252
833	1263	251
834	1264	249
835	1266	248
836	1267	246
837	1268	245
838	1270	243
839	1271	242
840	1273	240
841	1274	239
842	1276	237
843	1277	236
844	1278	234
845	1280	233
846	1281	231
847	1283	230
848	1284	228
849	1286	226
850	1287	225
851	1288	223
852	1290	222
853	1291	220
854	1293	219
855	1294	217
856	1295	216
857	1297	214
858	1298	213
859	1300	211
860	1301	210
861	1302	208
862	1304	207
863	1305	205
864	1307	204
865	1308	202
866	1310	200
867	1311	199
868	1312	197
869	1314	196
870	1315	194
871	1317	193
872	1318	191
873	1320	190
874	1321	188
875	1322	187
876	1324	185
877	1325	184
878	1327	182
879	1328	181
880	1329	179
881	1331	178
882	1332	176
883	1333	175
884	1335	173
885	1336	171
886	1338	170
887	1339	168
888	1340	167
889	1342	165
890	1343	164
891	1345	162
892	1346	161
893	1348	159
894	1349	158
895	1350	156
896	1352	155
897	1353	153
898	1355	152
899	1356	150
900	1358	149
901	1359	147
902	1361	146
903	1362	144
904	1364	143
905	1365	141
906	1367	140
907	1368	138
908	1370	137
909	1371	135
910	1372	134
911	1374	132
912	1375	131
913	1377	129
914	1378	128
915	1380	126
916	1382	125
917	1383	123
918	1385	122
919	1387	120
920	1388	119
921	1390	117
922	1392	116
923	1394	114
924	1395	113
925	1398	111
926	1400	110
927	1402	108
928	1404	107
929	1406	105
930	1408	104
931	1410	102
932	1412	101
933	1413	99
934	1415	98
935	1417	96
936	1418	95
937	1420	93
938	1421	92
939	1424	90
940	1425	89
941	1427	87
942	1429	86
943	1430	84
944	1432	83
945	1433	81
946	1435	80
947	1437	78
948	1438	77
949	1440	75
950	1441	74
951	1443	72
952	1447	71
953	1448	69
954	1451	68
955	1454	66
956	1455	65
957	1457	63
958	1459	62
959	1460	60
960	1462	59
961	1463	57
962	1465	56
963	1466	54
964	1468	53
965	1469	51
966	1471	50
967	1473	48
968	1474	47
969	1475	45
970	1477	44
971	1478	42
972	1480	41
973	1481	39
974	1483	38
975	1484	36
976	1486	34
977	1488	33
978	1489	31
979	1491	30
980	1492	28
981	1494	27
982	1495	25
983	1499	24
984	1502	22
985	1503	21
986	1506	19
987	1508	18
988	1510	16
989	1512	15
990	1514	13
991	1515	12
992	1517	10
993	1518	9
994	1520	7
995	1522	6
996	1524	4
997	1526	3
998	1527	1
999	1529	0
