Gender,Age,H.S.C passing year,Current Semester,Do you have meritorious scholarship ?,Do you use University transportation?,How many hour do you study daily?,How many times do you seat for study in a day?,What is your preferable learning mode?,Do you use smart phone?,Do you have personal Computer?,How many hour do you spent daily in social media?,Average attendance on class,Did you ever fall in probation?,Did you ever got suspension?,Do you attend in teacher consultancy for any kind of academical problems?,How many hour do you spent daily on your skill development?,Are you engaged with any co-curriculum activities?,With whom you are living with?,Do you have any health issues?,What was your previous SGPA?,Do you have any physical disabilities?,How many Credit did you have completed?,What is your monthly family income?,performance,Status of your English language proficiency_Basic,Status of your English language proficiency_Intermediate,What is your relationship status?_Married,What is your relationship status?_Relationship,What is your relationship status?_Single
1,19,2020,2,1,1,4,2,1,1,1,2,90,0,0,1,2,1,0,0,2.68,0,11,40000,2,False,True,False,False,True
1,19,2020,2,1,0,4,2,0,1,1,1,95,0,0,1,3,0,1,0,2.68,0,11,25000,2,True,False,False,False,True
1,20,2020,2,1,0,5,2,0,1,1,3,95,0,0,1,1,1,0,0,2.68,0,11,20000,2,False,True,False,False,True
1,19,2020,2,1,1,1,1,1,1,1,1,90,0,0,0,2,1,0,0,2.68,0,11,22000,2,False,True,False,False,True
0,20,2020,4,0,0,2,2,0,1,1,3,99,0,0,0,1,0,0,0,3.78,0,36,200000,2,True,False,False,False,True
1,20,2020,2,1,0,7,2,0,1,1,5,90,0,0,1,2,0,0,1,2.68,0,11,39000,2,True,False,False,False,True
1,21,2020,2,1,1,2,1,1,1,1,3,90,0,0,0,1,0,0,0,2.68,0,11,30000,2,False,True,False,False,True
1,21,2020,2,1,1,2,2,0,1,1,2,88,0,0,0,2,1,0,0,4.0,0,11,20000,1,False,True,False,False,True
1,21,2020,2,1,1,5,2,0,1,1,1,95,0,0,1,2,1,0,0,2.68,0,11,30000,2,False,True,False,False,True
1,20,2020,2,1,0,3,1,0,1,1,2,100,0,0,0,1,0,0,0,3.9,0,12,60000,1,False,True,False,False,True
1,20,2020,2,1,1,2,2,0,1,1,1,100,0,0,1,2,0,0,0,2.68,0,11,40000,2,True,False,False,False,True
1,22,2020,2,0,1,1,1,1,1,1,7,80,0,0,1,2,1,0,1,2.68,0,11,32000,2,True,False,False,False,True
1,20,2020,2,1,0,1,2,0,1,1,2,100,0,0,0,1,0,0,0,2.68,0,11,30000,2,False,True,False,False,True
0,20,2020,2,1,1,1,2,0,1,1,1,98,0,0,0,2,1,0,0,2.68,0,11,40000,2,False,True,False,False,True
1,20,2020,2,1,1,4,1,1,1,1,3,85,0,0,1,2,0,0,0,2.68,0,11,30000,2,False,True,False,False,True
0,20,2020,2,1,1,2,1,0,1,1,4,99,0,0,0,2,1,0,0,2.68,0,11,40000,2,False,True,False,False,True
1,20,2020,2,1,1,1,1,0,1,1,4,75,0,0,1,1,0,0,0,2.68,0,11,35000,2,False,True,False,False,True
1,21,2020,4,1,1,3,2,0,1,1,4,85,0,0,1,2,0,1,0,2.68,0,36,40000,2,False,True,False,True,False
1,23,2017,11,0,1,1,2,0,1,1,2,100,0,0,0,2,1,1,0,2.68,0,126,15000,2,False,True,False,False,True
1,21,2019,8,1,0,3,2,0,1,1,5,95,0,0,1,1,0,1,0,3.84,0,80,23000,0,False,True,False,False,True
1,21,2019,8,0,1,3,2,0,1,1,2,95,0,0,1,2,1,1,0,2.68,0,88,62488,2,False,False,False,False,True
1,24,2016,12,1,0,2,2,0,1,1,4,70,0,0,1,2,1,1,0,3.31,0,132,350000,2,False,True,False,False,True
1,22,2019,8,0,0,3,2,1,1,1,4,100,0,0,1,2,0,1,0,2.68,0,88,50000,2,False,True,False,False,True
0,21,2020,2,1,0,3,1,1,1,1,2,95,0,0,1,1,0,0,0,2.68,0,11,40000,2,False,False,False,False,True
1,20,2020,2,0,0,3,2,0,1,1,2,100,0,0,1,5,0,1,0,2.68,0,11,35000,2,False,True,False,True,False
0,21,2019,8,1,1,3,2,0,1,1,2,80,0,0,1,2,0,0,0,2.68,0,88,35000,2,True,False,False,False,True
1,21,2020,2,0,0,8,2,1,1,1,1,100,0,0,1,2,1,1,0,2.68,0,11,30000,2,True,False,False,False,True
1,23,2018,8,1,1,2,2,1,1,1,1,90,0,0,1,1,0,0,0,2.68,0,88,40000,2,False,True,False,False,True
1,20,2020,2,1,1,4,1,0,1,1,1,95,0,0,1,1,1,0,0,2.68,0,11,35000,2,False,True,False,False,True
0,21,2019,8,0,1,1,1,1,1,1,2,95,0,0,0,2,0,0,1,2.68,0,88,40000,2,False,True,False,False,True
0,24,2017,12,0,1,2,2,0,1,1,3,80,1,0,1,1,1,0,0,2.68,0,136,30000,2,False,True,True,False,False
1,22,2019,8,0,0,3,1,1,1,1,1,100,0,0,0,8,1,1,0,2.68,0,88,35000,2,False,True,False,False,True
1,21,2019,8,0,1,4,1,0,1,1,2,95,0,0,1,2,0,1,0,2.68,0,88,25000,2,True,False,False,False,True
0,20,2020,2,1,1,5,3,0,1,0,2,99,0,0,1,2,1,0,1,2.68,0,11,600000,2,True,False,False,False,True
0,20,2019,2,1,1,4,3,0,1,1,4,100,0,0,1,2,0,0,0,2.68,0,11,35000,2,True,False,False,False,False
0,20,2019,8,1,0,1,1,0,1,1,5,80,0,0,1,2,0,1,0,3.49,0,71,40000,2,False,True,True,False,False
1,21,2019,8,0,0,4,1,1,1,1,2,100,0,0,1,2,0,1,0,3.07,0,85,20000,0,False,True,False,False,True
1,21,2019,8,0,1,3,1,0,1,1,8,85,0,0,1,1,0,0,0,2.68,0,88,20000,2,False,True,False,False,True
0,21,2019,8,0,1,3,1,0,1,1,1,95,0,0,1,1,0,0,0,3.76,0,83,92000,0,False,True,False,False,True
1,22,2019,8,0,1,3,1,0,0,1,1,98,0,0,0,2,0,0,0,2.7,0,80,35000,2,False,True,False,False,True
1,22,2019,8,0,0,2,1,0,1,1,2,95,0,0,0,2,0,1,0,2.68,0,88,20000,2,False,True,False,False,True
1,23,2017,8,0,1,1,1,1,1,1,1,99,0,0,1,2,1,0,0,2.68,0,88,15000,2,False,True,False,False,True
1,23,2017,8,1,1,2,1,1,1,1,1,96,0,0,0,2,1,0,0,2.68,0,88,30000,2,False,True,False,False,True
1,21,2020,2,0,1,3,1,0,1,1,1,95,0,0,1,2,1,0,0,3.65,0,11,45000,0,False,True,False,False,True
1,22,2019,8,0,1,1,1,0,1,1,15,100,0,0,1,1,0,0,0,2.68,0,88,90000,2,False,True,False,True,False
0,21,2019,8,0,0,2,2,0,1,1,2,80,0,0,0,1,0,0,0,2.68,0,88,35000,2,True,False,False,False,True
1,20,2019,8,1,1,2,1,1,1,1,3,95,0,0,0,3,0,1,0,2.68,0,88,20000,2,True,False,False,False,True
1,21,2020,2,1,1,4,2,0,1,1,2,88,0,0,1,2,1,1,0,2.68,0,11,100000,2,False,True,False,False,True
1,23,2018,11,1,0,6,2,0,1,1,3,100,0,0,0,2,1,1,0,3.84,0,73,30000,0,False,True,False,False,True
0,20,2020,2,0,0,2,1,0,1,1,6,80,1,0,0,2,0,1,0,2.68,0,11,70000,2,False,True,False,False,True
0,24,2016,10,0,1,2,1,1,1,1,4,90,1,0,0,4,0,0,0,2.68,0,113,40000,2,True,False,False,False,True
0,21,2020,2,1,0,2,4,0,1,1,1,100,0,0,1,2,1,1,0,2.68,0,11,10000,2,True,False,False,False,False
1,20,2020,4,1,1,2,1,0,1,1,2,82,0,0,1,4,0,1,0,2.68,0,36,40000,2,False,False,False,True,False
1,22,2020,4,1,1,1,1,0,1,1,1,90,0,0,0,0,0,0,0,2.68,0,36,20000,2,False,True,False,False,True
1,20,2019,5,0,0,3,2,0,1,1,1,98,0,0,0,8,1,1,0,2.68,0,50,22000,2,False,True,False,False,True
1,23,2017,11,0,1,3,2,1,1,1,1,85,1,0,1,2,0,1,1,2.68,0,126,45000,2,False,True,False,False,True
0,21,2019,8,0,1,4,1,0,1,1,3,90,0,0,1,1,0,0,0,2.68,0,88,40000,2,False,True,False,False,True
0,20,2020,2,1,1,2,1,0,1,1,5,90,0,0,1,1,0,0,1,2.68,0,11,50000,2,False,True,False,False,True
0,22,2019,8,1,0,3,1,0,1,1,4,90,0,0,1,2,0,1,0,2.68,0,88,50000,2,False,True,False,False,True
1,23,2017,13,0,0,2,4,0,1,1,6,88,1,0,1,1,0,1,0,2.68,0,112,30000,2,True,False,False,True,False
1,20,2020,2,1,0,3,4,0,1,1,1,95,0,0,1,5,0,1,0,2.68,0,11,40000,2,True,False,False,False,True
1,19,2020,4,1,0,1,1,0,1,0,1,95,0,0,1,1,1,0,0,3.5,0,35,30000,2,False,True,False,False,True
1,21,2019,4,1,1,4,2,0,1,1,1,90,0,0,0,2,1,0,0,3.38,0,27,40000,2,False,True,False,False,True
1,21,2019,8,0,0,2,2,0,1,1,1,90,1,1,1,1,0,1,0,2.68,0,88,30000,2,False,True,False,False,True
