columna,importancia_sumada
anio_ingreso,0.2420239406570297
num_periodo_acad_matric,0.21975150507790409
promedio_ultima_matricula,0.17808238783349722
programa,0.09022844472391053
sexo,0.06387037872609497
edad_en_ingreso,0.0596685718586935
anio_ciclo_est,0.05096827922329244
ultimo_periodo_matriculado,0.0
