modelo,F1_pos,Recall_pos,ROC_AUC
CatBoostClassifier,0.6807692307692308,0.7,0.9566696309470876
LGBMClassifier,0.6710318666840406,0.6512820512820513,0.9604935526900844
KNeighborsClassifier,0.661802371541502,0.5743589743589743,0.9011338372610048
GradientBoostingClassifier,0.6438721664808622,0.5858974358974359,0.9554505706239811
AdaBoostClassifier,0.6176606002692958,0.5602564102564103,0.9068289610197123
SVC_RBF,0.5984987988521326,0.7782051282051281,0.9453646064917741
ExtraTreesClassifier,0.5206109839816934,0.43076923076923074,0.954661330961909
RandomForestClassifier,0.4991418016481955,0.3961538461538462,0.9546057507040165
DecisionTreeClassifier,0.4838095238095238,0.49102564102564106,0.7365532829405661
HistGradientBoostingClassifier,0.4746296296296297,0.3935897435897436,0.961108640877427
LogisticRegression,0.4527167277167276,0.8564102564102564,0.9611642211353194
GaussianNB,0.13130472141155353,0.9051282051282051,0.7349340447606343
